ddn	电信
数字签名	电子商务
狼孩	环境
抗生素	自然科学
摩西	以色列
电化学	自然科学
饮茶	绿茶
马吕斯	物理学家
色谱	化学工业
碳水化合物	自然科学
叶剑英	周恩来
换向器	汽车
前列腺炎	治疗
花岗石	建筑学
松原	松花江
痣	生活
代词	社会科学
马六甲海峡	海峡
晕	气象
乌云其木格	履历
电流	自然科学
秦穆公	春秋
五体投地	佛学
刘铭传	湘军
戒烟	生活
脂砚斋	曹雪芹
分辨率	分析化学
劳力士	瑞士
月光族	生活
健身	生活
周传雄	音乐
索尔蒂	匈牙利
锡林浩特	内蒙古
苯甲酸钠	自然科学
琼脂	自然
中秋节	圣诞节
粉领	美国
白皮书	公共行政
倒立	卫生保健
马加爵	广西
抗日战争	战争史
太白粉	生活
世界知识产权组织	联合国
热辐射	热力学
厄瓜多尔	亚美尼亚
霍英东	澳门
金线泉	青岛
迷彩服	生活
云南旅游	丽江
南非共和国	南非
曲阜	山东
核酸酶	自然科学
反函数	理科
大骨节病	地理学
晕	国家
中国国民党	民族
信令	无线电
酒精	自然科学
动物区系	自然科学
梨园戏	福建
秦穆公	秦国
酒瓶兰	自然
斯里兰卡	亚洲
济宁	山东
灵丘县	大同
功放	声学
盂县	山西
金荣权	古代文学
江阴	江苏
长笛	音乐
黄菊	毛泽东
中央处理器	大学
水污染	环境
代词	动词
本初子午线	自然科学
营业税	经济法
周铁农	民主党派
刘若英	台湾
氨水	自然科学
狗尾巴草	自然
伪军	抗日战争
高中生物	学科
摩纳哥	西欧
深圳	广东省
电信网	电子科技
化妆品	生活
杨尚昆	邓小平
淮北	安徽
夏津县	山东
公共汽车	生活
藁城	河北
坦桑尼亚	索马里
漳州	福建
吴桥县	河北
木质素	有机化学
马一浮	书法家
聊城	山东
血友病	病理学
郭伯雄	履历
常熟	苏州
大龙湫	文言文
宣萱	音乐
南京大学	中山大学
芗剧	福建
氢弹	自然科学
被动语态	英语
霍邱县	六安
隆中	襄阳
核反应堆	核能
樊哙	秦朝
碳氢化合物	有机化学
史湘云	古典文学
旗舰店	品牌
烟台	山东
电子客票	电子商务
整理	建筑学
曹格	音乐
linux	即时通讯
安第斯山脉	世界
粤剧	广东
庐江县	安徽
可米小子	音乐
传真	打印
不丹	南亚
泥石流	地质灾害
温家宝	履历
木糖醇	有机化学
汤恩伯	抗日战争
有丝分裂	遗传学
土库曼斯坦	尼日利亚
青霉素	药学
十字花科	自然科学
严复	海军
主语	朝鲜语
克隆	生物工程
风湿病	生活
承德避暑山庄	承德
郑钧	娱乐
回良玉	履历
对流	自然科学
刘伯坚	红军
芭蕾舞	街舞
韩正	佳木斯市
张巡	南阳
密钥	安全
雉鸡	自然
摩擦力	摩擦学
太阳历	文明
西安美术学院	西安
避孕药	医药
余干县	余干
氧化铁	自然科学
苏铁	自然
房价	生活
百脉泉	山东
石首	湖北
萨芬	俄罗斯
井田制	周朝
汾阳	山西
山顶洞人	考古
二进制	自然科学
信息	自然科学
李嘉欣	影视
evd	多媒体
黄菊	伯爵
惯性力	自然科学
节约	生活
年号	韩国
盗汗	治疗
雅芳	生活
朱棣	明朝
宝坻区	天津
厄瓜多尔	智利
解构主义	认识论
元谋人	原始社会
匡衡	西汉
文莱	东南亚
趵突泉	济南
电力系统	电力工程
暨南大学	广州
猕猴桃	自然
转口贸易	管理学
二人台	内蒙古
十四行诗	文艺复兴
虚拟光驱	虚拟
东北虎林园	黑龙江
宋书	社会科学
焦作	河南
信息	传播学
打雷	自然
电报	邮电
拒马河	自然科学
自慰	病理学
餐刀	生活
八极	自然科学
意识流	摄影
基尼系数	统计
花岗石	装修
支原体	自然科学
博斯腾湖	新疆
沈福彭	青岛
普拉蒂尼	法国
栖霞山	南京
文艺复兴	文艺
松原	东北
大跃进	文革
鹤壁	河南
水源	自然科学
靠	生活
量纲	时间
满族	满洲
加拿大	英联邦
石榴裙	生活
孙燕姿	潮州
昆明	云南
天然气	石油
汤用彤	湖北
李长春	沈阳
百科全书	年表
同性恋	婚姻
庐山	黄山
一傅众咻	学习
平岗	河南
动漫	声优
直线运动	运动学
香鱼	自然
鄂毕河	地理学
酸辣粉	重庆
伪科学	占星学
几内亚	非洲联盟
三晋	太原
红烧鱼	生活
碳酸氢钠	自然科学
德天瀑布	崇左
计算机	电脑配件
后现代主义	中国画
墨尔本	澳大利亚
it	流行音乐
中国人民政治协商会议	民主
也门	亚洲
山影拳	自然
旧石器时代	古文明
脑梗塞	生活
个人所得税	薪酬
赣州	江西
天然气	基础设施
智力	社会科学
传销	达州
固镇县	安徽
岩浆岩	地理学
数据库	自然科学
阴阳	宇宙
奥地利	中欧
日内瓦湖	德国
白汤	瘦身
癌症	自然科学
沈丘县	河南
中子星	自然科学
郑伊健	音乐
传真	网络传真
白令海	俄罗斯
电解质	表面工程
山西财经大学	山西省
晋城	山西省
本州岛	日本
生理学	生物科学
霍邱县	安徽
胡彦斌	音乐
尼泊尔	南亚
梁启超	孙中山
封丘县	河南
放火罪	社会科学
室内设计	生活
分频器	电子科技
欧洲	世界
常遇春	明朝
山姆大叔	美国
火把节	少数民族
信息论	自然科学
灵寿县	河北
啮齿动物	自然科学
voip	通讯
血友病	内科学
新化县	湖南
沂蒙山	居家
水肿	内科学
湖南卫视	湖南
坎儿井	新疆
灯谜	元宵节
魔兽争霸	暴雪
南浦大桥	上海
藏传佛教	西藏
上海理工大学	上海
十四行诗	莎士比亚
蒙古国	蒙古
色拉油	生活
热辐射	农作物
国际收支	国际贸易
东钱湖	宁波
多瑙河	地理学
纳灵洞	广西
后现代主义	地理学
音标	社会科学
数字证书	密码学
跳槽	就业
赚钱	经商
袁崇焕	元明清
星际争霸	暴雪
中国人民政治协商会议	国民党
鸡西	黑龙江
肯德基	生活
邵东县	邵东
勾股定理	平面几何
动量定理	自然科学
中华鲟	自然科学
磁盘碎片	操作系统
滕州	山东
卵胎生	自然科学
物理学	自然科学
马骝	广州话
江泽民	履历
淮河	地理学
服务器	网络通讯
唯美主义	绘画
自慰	内科学
陇南	甘肃
伽玛刀	医疗
哲学	人性
黄牛党	消费
犬儒主义	人文
摩尔定律	电子科技
正太	生活
乙酸	林学
机油	船舶
大骨节病	卫生
蒋介石	西安事变
珠江路	南京
网络适配器	网络通讯
郑州	河南
岩石	地理学
立陶宛	东欧
樊哙	汉代
对流雨	自然科学
金属	材料力学
缙云山	重庆
索马里	东非
代理服务器	代理
机器码	硬件
电信网	通讯
rbs	激光
余光中	南京
diy	生活
酗酒	饮食
绿色食品	食品科学
焦虑	社会科学
色温	佳能
汤力水	鸡尾酒
胡锦涛	履历
ssl	电子商务
牛百叶	烹饪
古兰经	民族
像素	图像
大东海	生活
白平衡	摄影
空气污染	气象学
蓝牙	电信
相对湿度	自然科学
解手	生活
忽悠	人文
曲尺	穴位
刘铭传	中法战争
青绿	绘画
佘田桥	湖南
液压油	自然科学
囫囵吞枣	成语词典
艾青	世界语
刘师培	世界语
吕氏春秋	杂家
耶稣	犹太教
蒙太奇	镜头
麻省理工学院	美国
离心力	自然科学
达赖	西藏
集安	吉林
氯酸钾	自然科学
肥皂剧	电视
付汇	人文科学
吴佩孚	北洋军阀
满族	姓氏
字长	科学
沈曾植	中国画
平定县	山西
王兆国	履历
电流	电磁学
陈良宇	上海市
清丰县	河南
书记	宗教
cosplay	生活
多伦多	英国
航天飞机	测绘学
百事可乐	生活
章太炎	辛亥革命
鄂毕河	自然资源
电磁波	电磁学
平井坚	音乐
桉树	自然
开封	人物
刘少奇	周恩来
id	科学
解放日报	宣传
纵横家	战国
军人	国家
郑钧	音乐
江西财经大学	江西
音高	音乐
韩正	浙江
肥皂剧	生活
电磁波	自然科学
以太网	应用程序
江苏	华东
表现手法	写作技巧
荣毅仁	履历
吉庆街	武汉
代词	科学
浙江大学	浙江
代码	机械零件
亚洲	西亚
团队精神	培训教材
脂肪	营养学
西瓜霜	植物
倒易律	自然科学
来来	古国
命题	自然科学
红绿色盲	自然科学
相对湿度	科学
贝加尔湖	俄罗斯
巨噬细胞	自然科学
faq	国际贸易
剪刀差	市场
佳木斯大学	佳木斯
山海关	秦皇岛
启东	江苏
王国维	书院
客家	江西
gprs	移动电话
蟾蜍	自然
欧姆定律	电学
对流雨	自然
质数	自然科学
户部巷	生活
岫岩满族自治县	鞍山
绿松石	自然科学
注册表	电脑
栾城县	河北
休眠期	自然
健康	神经学
耶稣	上帝
火把节	民间文化
打印机	自然科学
毛利率	公司
湿疹	药品
evd	音频
音高	自然科学
室内设计	图腾
神农架	赞比亚
李佳明	播音员
小户型	建筑业
薄熙来	重庆
gprs	数码产品
调制解调器	信号转导
棒棒鸡	生活
月经	女性
基因	基因组学
gpu	芯片
袁世凯	孙中山
湖州	浙江
口径	自然科学
欧洲	丹麦
竹山县	湖北
贝宁	西非
青秀山	广西
newcastle	加拿大
圆周率	自然科学
水源	环境
板鞋	生活
测试	名词
慧眼	宗教
维生素	自然科学
海湾战争	伊拉克
崔永元	娱乐
diy	生活用品
水星	自然
昌乐县	山东
书记	社会
吉林大学	吉林
孜然	植物药
胰岛素	医疗
lenovo	国际
郭襄	襄阳
人力资源	竞争
陆游	诗词
hide	明星
神农氏	中华文化
禹州	中原
赤峰	华北
寒食节	清明节
流苏	新文艺
四维空间	神秘学
原子团	原子
博士后	硕士
肝硬化	内科学
白皮书	文献学
幻日	自然科学
阿难陀	神话
转经筒	佛教
潟湖	海洋
和弦	音乐学
哲学范畴	抽象
晋文公	春秋
情商	情绪
漓江	自然
阴霾	气象
可视电话	通讯
博清沉	因特网
窦唯	音乐
茅台	股票
拉斯维加斯	美国
格鲁吉亚	加纳
信托公司	信托
潘玮柏	音乐
轻音乐	纯音乐
达赖喇嘛	西藏
战术	战略
强子	自然科学
安徽大学	安徽
天津工业大学	天津
物华天宝	温州
节约	观念
江西师范大学	江西
疝气	卫生
个人简历	求职
巴勒斯坦	阿拉伯
壮族	广西
对流	大气
钢化玻璃	居家
意识形态	政治学
坚壁清野	成语故事
刘少奇	彭德怀
温州	浙江
玄关	居家
马来西亚	东南亚
甲醛	食品科学
青藏铁路	青藏高原
贝加尔湖	自然
王国维	季羡林
msn	即时通讯
中山装	时装
demo	影视
燕山	河北
宋庆龄	国民党
粉针	药品
土著	人口
曹刚川	摩尔多瓦
克隆	自然科学
绝句	体裁
显生宙	自然科学
全双工	电子科技
监利县	荆州
jpg	图片
乙醇	有机化学
康保县	河北省
盐城	江苏
南迦巴瓦峰	西藏
邹鲁	近代史
核反应堆	自然科学
新闻组	net
乙烯	有机化学
色温	物理量
抢劫罪	法治
体细胞	药品
吹毛求疵	文化
污染	科学
血象	疾病
招安	社会
苍溪县	广元
光电效应	自然科学
金领	美国
cosplay	娱乐
动物区系	动物学
李成龙	西安
魏骏杰	香港
厄瓜多尔	加蓬
天安门广场	纪念碑
统计	自然科学
孟州	河南
岳麓书院	长沙
爽	职业
狼孩	情感
哈尔滨工业大学	黑龙江
机载雷达	电子科技
齐齐哈尔	黑龙江
滕州	枣庄
栖霞山	南京旅游
颠茄	茄科
信息	股份公司
性病	病理学
河南大学	开封
走穴	娱乐
华南理工大学	东南大学
角动量	运动学
河南大学	河南
银球	规则
肉火烧	东北
周杰伦	金曲奖
dms	数据库
土著	民族
全站仪	测绘
居庸关	生活
徽州	安徽
拉萨	达赖喇嘛
性病	内科学
无为县	安徽
文采	诗词
面包	潜艇
胡适	北大
粉针	药剂
自然哲学	书籍
厌氧菌	常识
菠萝	自然
电磁炉	生活
颤音	社会科学
玉兰片	八大菜系
日凌	科学
路过	生活
平凉	甘肃
宇称	自然科学
湿疹	科学
脊髓	骨科
韵脚	社会科学
塔利班	奥巴马
鬼压床	生活
洛龙区	洛阳
金荣权	河南
肥皂剧	流行语
赵王城	河北
人品问题	大学生
烟视媚行	文化
一氧化碳	化学工业
蛋白尿	病理学
重力	测绘学
qq	系统软件
新浪	新闻
青霉素	自然
兖矿集团有限公司	山东
开封	河南
云南农业大学	云南
潮汕	广东
主板	数码
一了百了	音乐
乌云其木格	蒙古族
朱镕基	履历
蜡笔小新	生活
氰化钾	毒理学
丹田	气功
印花税	证券
对流	物理化学
合肥	安徽
神农架	湖北
信息论	地理学
白化病	医疗
梁咏琪	香港
石女	生活
玄关	气功
白皮书	国际
可锻性	机械
固始县	河南
乌克兰	亚美尼亚
解构主义	散文
齐人之福	典故
树袋熊	自然
豆豉鱼	生活
大骨节病	生活
ntfs	操作系统
小户型	家居
马化腾	腾讯
加权	统计学
水星	自然科学
像素	度量衡
淄博	山东
叶世荣	音乐
陈与义	宋词
林冠吟	音乐
土库曼斯坦	阿塞拜疆
醋	卫生保健
启动盘	软件
玉兰片	生活
清源山	福建
牙痛	生活
南岔区	黑龙江
sql	oracle
五谷杂粮	营养
王芗斋	武术家
唇裂	生活
世博园	昆明
中药	自然科学
重阳节	端午节
索马里	加纳
血红蛋白	生活
创造学	科学
大骨节病	流行病学
显卡	电子产品
卫立煌	抗日战争
麻风病	卫生
印度尼西亚	文莱
黄家强	专辑
八字	上海
周杰伦	台湾
郑秀文	音乐
马来西亚	缅甸
西夏	宋朝
黄页	生活
五子棋	生活
圣经	经典
许远	海宁
尼加拉瓜	美洲
蚩尤	民俗学
网页	互联网
发票	税法
铯	自然科学
净资产	经济学
驴打滚	庙会
重阳节	生活
量子	量子力学
李亚鹏	影视
it	音乐
台北	台湾
纵横家	三教九流
delphi	软件开发
天然气	沼气
卫生巾	卫生保健
电灯	生活
青藏铁路	鄱阳湖
光圈	佳能
婺源县	江西
哈尔滨	黑龙江
车辆	制动器
伊朗	亚洲
宾语	社会科学
消费税	会计学
收视率	生活
囫囵吞枣	成语
imf	汇率
体细胞	遗传学
代沟	人际关系
大理石	装修
孜然	药品
跳槽	生活
组策略	注册表
沈曾植	人物
中央处理器	声卡
传真	传真机
解构主义	后现代
等离子	电视
gprs	电信
紫式部	古典
白平衡	视听
偏头痛	内科学
瑞士	西欧
异化作用	生命科学
开门七件事	日常生活
世界知识产权组织	契约
表现手法	创作
心理疾病	公共卫生
诺基亚	芬兰
海瑞	元明清
郑和	海外
脂砚斋	红楼梦
波粒二象性	微电子学
犹太教	婚礼
宿豫	江苏省
包抄	体育运动
ipod	乔布斯
世博园	上海
毛遂	滕州
蓝调	人物
忽悠	风俗
内存	船舶
福禄考	自然
乙醚	自然科学
悖	逻辑
疏勒河	甘肃
原子能	核科学
红学	红楼梦
收视率	调查
宁城县	内蒙
氯胺酮	药学
辩证法	自然科学
蔡元培	鲁迅
拉卜楞寺	甘肃
电报	池中玉
天目湖	溧阳
慈禧	元明清
资本主义	货币
大明湖	山东
香港中文大学	香港
趋肤效应	物理
智能手机	电信
性	生活
文案	职业
二极管	电子学
外挂	游戏
可用性	人机界面
七分裤	生活
重力	自然科学
小品	赵本山
轻轨	交通运输
内存条	世界
宽带	传输
樊哙	刘邦
菏泽	中原
埃塞俄比亚	世界
过桥米线	云南
眉毛	生活
通用网址	域名
扫描仪	自然科学
赵汀阳	人文
美国有线电视新闻网	电视
郭妮	励志
七言律诗	古典文学
奥斯卡金像奖	美国
天主教会	宗教改革
单倍体	遗传学
刘歆	西汉
对流雨	地理学
仿生学	生物学
逃逸塔	航天
同性恋	爱情
人民	政治学
巴基斯坦	亚洲
建水县	云南省
耶稣	东正教
id	俗语
丛台	邯郸
氖	自然科学
印度尼西亚	泰国
色温	摄影
宁财神	影视
亚健康	卫生保健
白洋淀	河北
孟州	焦作
新沂	江苏
发票	法律
身份证	长征
碳酸氢钠	科学
周笔畅	音乐作品
高锰酸钾	生物化学
个人所得税	税务
唯美主义	运动
颈椎病	医院
贾平凹	学者
启动盘	电脑
会计	货币
内核	自然科学
华侨大学	泉州
雪茄	生活
钾	自然科学
钱玄同	鲁迅
氨基酸	自然科学
胆红素	营养学
衣原体	疾病
消费税	财政
纬度	自然科学
压缩比	发动机
温室效应	生态
王羲之	草书
中华人民共和国中央军事委员会	军队
维吾尔族	穆斯林
气胸	内科学
阴阳	应用科学
月光族	族群
特别法	法理学
金枪鱼	自然
沙尘暴	环境
小鸟球	高尔夫球
电火花	自然科学
orz	生活
朝鲜族	人文
灯谜	节日
脱口秀	电视台
欧洲	南美洲
苏伊士运河	埃及
苏家屯区	沈阳市
瘙痒症	生活
阳煤集团	山西
中国共产党	会议
考研	研究生
eax	声卡
建陵中学	江苏
王羲之	书画
二百五	语言
新源县	伊犁
华中师范大学	武汉
红木	自然
漓江	桂林
天然气	盆地
吃醋	生活
ddr	硬件
收视率	电视
辽化	辽宁
mop	澳门
希腊	东欧
香港	生活
资本主义	马克思
缺省	电脑
湖北美术学院	湖北
电压	自然科学
代词	北美洲
马六甲海峡	东南亚
传真	传输
网络计算机	网络通讯
启蒙运动	思想
古生代	自然科学
推理机	人工智能
魔芋	生活
饮茶	生活
国税	国家机关
液晶	有机化学
吴桥县	沧州
温碧霞	影视
心理变态	心理咨询
天目湖	江苏
程序法	法理学
硚口区	湖北
视频	自然科学
镁	营养学
石女	性学
大骨节病	公共卫生
偏头痛	卫生保健
多囊肾	卫生
信令	电子
秘鲁	厄瓜多尔
贾庆林	亚美尼亚
共同市场	管理学
汾酒	山西
水门事件	美国
多伦多	悉尼
吴邦国	摄像机
自然对数	自然科学
陈独秀	共产党
十四行诗	意大利
三长两短	习俗
市净率	财务管理
回文	社会科学
垃圾邮件	广告
污染	环境
卡路里	自然科学
血红蛋白	临床医学
自助餐	饮食文化
糌粑	生活
玉田县	河北
墨脱县	西藏
化学	自然
三氧化二砷	内科学
塔利班	阿富汗
祖冲之	数学史
粮票	生活
自我实现	社会科学
被动语态	社会科学
网桥	应用科学
王力宏	音乐
中心法则	遗传学
左支右绌	文化
一辉	动漫
南宁	广西
花岗石	居家
烤乳猪	生活
gprs	无线通讯
离石区	吕梁
苏铁	活化石
电离	物理学
米酒	自然
蓝领	国际
二进制	数学史
势能	自然科学
存在主义	人文科学
风湿病	病理
中子弹	军事学
牛仔裤	生活
汉语	汉藏语系
瑜伽	健身
大麻	自然科学
纳木错	拉萨
沙特阿拉伯	阿拉伯
胰岛素	药学
电磁波	天文学
唐果	云南
模式识别	社会科学
西南政法大学	重庆
厄瓜多尔	委内瑞拉
南京大学	浙江大学
睡姿	生活
硫酸镁	无机化学
任贤齐	音乐
摩登舞	艺术
水玻璃	砂浆
和弦	乐理
抗日战争	中日关系
内核	硬件
福建农林大学	福建
剑阁县	广元
德天瀑布	广西
波美度	溶液
武清区	天津
压缩比	汽车
羊蝎子	食谱
厘米	自然科学
等离子体	自然科学
顾颉刚	鲁迅
喀纳斯湖	新疆
狗仗人势	寓言
银河系	自然科学
大东海	三亚
布朗运动	自然科学
相对湿度	空调
白龙公园	生活
角动量	生物力学
河北大学	河北
乌克兰	东欧
碳水化合物	生物医学
汇编程序	自然科学
京山县	湖北
耶稣	柏拉图
会计	职业
计提	财务
梭哈	娱乐
弹性介质	物理
姜熙健	明星
基里巴斯	世界
微处理器	intel
蛋白尿	内科学
太平间	应用科学
气胸	病理学
喀麦隆	塞拉利昂
对流	科学
newcastle	澳大利亚
东昌湖	聊城
胶合板	生活
茶叶蛋	生活
意思	思想
外挂	生活
脂肪	减肥
zone	日本
老挝	泰国
零点乐队	音乐
超线程	软件
虚数	自然科学
阅兵	国庆
硫代硫酸钠	化学
盐酸	内科学
过敏反应	内科学
湿疹	治疗
精油	自然科学
强迫症	心理咨询
学分制	大学
全站仪	测绘学
香蕉水	有机化学
电化学	表面工程
呼伦贝尔	内蒙古
小栗旬	影视
松花粉	自然
宋美龄	蒋介石
材料力学	自然科学
八字	生活
系数	物理化学
欧姆定律	自然科学
氢键	化学键
外戚	西汉
城阳区	山东
奇函数	代数
风湿病	骨科
青霉素	自然科学
日心说	标准
伊藤英明	日剧
吴邦国	博山
供应链	物流
质数	定义
枇杷	应用科学
会计	经济学
小雁塔	陕西
动量	自然科学
燃料电池	自然科学
产品	销售
香烟	生活
路由器	路由
二极管	物理学
响水县	江苏
沈葆桢	洋务运动
资本主义	社会科学
三秦	陕西
喀麦隆	乌克兰
梁启超	思想家
剑阁县	四川
阿难陀	印度教
驱动程序	接口
海岸	地球
电离辐射	农作物
印度尼西亚	世界
山西大学	山西
淘宝网	导购
唯物主义	学科
抑郁症	心理咨询
轴承	建筑学
口水鸡	生活
毛票	民族
上海交通大学	上海
欧洲	英国
商业	生活
南京师范大学	南京
獾	自然
域名	通信
小针刀	医疗
阴霾	政权
超线程	微处理器
枣阳	襄阳
木糖醇	科学
章子怡	金马奖
曲阳县	河北
孟庙	山东
灵丘县	山西
北京人民艺术剧院	话剧
白皮书	书籍
毛票	生活
衡水	河北
郑州大学	郑州
期货	股票
吴宓	红楼梦
加权	科学
市盈率	股票
山姆大叔	政治
韵脚	文学
方文山	周杰伦
沭阳县	江苏省
生辰八字	天干
一元复始	活动
书	华罗庚
一氧化二氮	化学工业
七级浮屠	佛教
纵横家	社会
藁城	石家庄
埃塞俄比亚	东非
洛阳	河南省
葛根	自然
乌龙球	体育比赛
花钟	自然
网页	网络
土库曼斯坦	中亚
年号	纪年
沈阳大学	辽宁
抗生素	卫生
流苏	假发
神经系统	脑科学
文艺复兴	启蒙运动
印象派	绘画
可锻性	金属
天安门广场	生活
rap	音乐
宣萱	艺人
万州区	重庆市
微生物	自然科学
压缩比	煤矿
芦荟	自然
叶酸	自然科学
微分	自然科学
雀巢咖啡	生活
广州美术学院	广州
白族	生产
歼击机	军事学
条件反射	诺贝尔奖
云南大学	云南
印度尼西亚	新加坡
天津大学	天津
彭德怀	红军
网关	网络通讯
哈尔滨工程大学	哈尔滨
颜回	春秋
道家	老子
虚拟社区	网易
身份证	人口
灵隐寺	杭州
两口子	风俗
硚口区	武汉
光圈	摄影
中微子	宇宙学
木卫三	自然科学
雁荡山	浙江
哈尔滨理工大学	哈尔滨
技术移民	留学
营养配餐	养生
荔枝	自然
安之若素	寓言
绿豆汤	生活
几内亚	世界
纵横家	外交家
血红蛋白	贫血
钾	营养学
红茶	人物
evd	系统
武穴	黄冈
中国人民大学	人文科学
朝鲜族	延边
太阳风	太阳
乌兹别克斯坦	尼泊尔
维生素	营养学
北京大学	胡适
柯有伦	音乐
偏头痛	生活
强迫症	内科学
鼎湖山	广东
紫苏叶	河北
南岔区	伊春
长笛	西洋乐器
欧洲	亚洲
姚晨	影视
固始县	信阳
心悸	心脏
橄榄	生活
喀麦隆	加蓬
零冠词	社会科学
晋文公	晋国
张耒	宋词
新源县	新疆
宋庆龄	蒋介石
偏光镜	摄影
可口可乐	圣诞节
费米子	自然科学
莱芜	山东
固始县	固始
年号	传统
血友病	遗传学
肌肉	卫生保健
相对湿度	气象
摩纳哥	足球明星
算术	自然科学
瑜伽	减肥
电磁波	生物医学
碳氢化合物	自然科学
氮气	自然科学
西施犬	自然
红客	软件
索尔蒂	英国
宝坻区	宝坻
新闻组	卡巴斯基
盆地	自然科学
血型	血液
茼蒿	自然
温岚	音乐
辽东	辽宁
经济制裁	国际
纳米比亚	英联邦
可锻性	锻压
树袋熊	澳大利亚
换向器	自然科学
鹤顶红	古玩
示现	诗词
周润发	影视
色谱	自然科学
核糖核酸	遗传学
流动比率	人文科学
意思	思维
周口	河南
数字签名	密码学
胡适	戚继光
创造学	理论
员外	官制
商业秘密	讲座
赵王城	战国
权证	基金
腐竹	喜剧
乌龙球	体育运动
尸斑	法医学
悖论	自然科学
爱立信	通讯
林月如	仙剑
异化作用	自然科学
淮河	自然科学
尼日利亚	世界
班得瑞	音乐
构造湖	自然科学
美轮美奂	小说
申根协定	全球化
姜熙健	韩国
尼日利亚	巴西
明尼苏达州	美国
罗布泊	新疆
纵横家	战争
上市公司	管理学
数字地球	自然科学
威海	山东
游艇	生活
平度	山东
中山陵	孙中山
端口映射	端口
王国维	中山大学
显卡	数码
康保县	河北
印度	南亚
半衰期	内科学
往生咒	习俗
扫帚星	自然科学
格鲁吉亚	加蓬
赵德芳	宋朝
南开区	天津
鸡眼	生活
体细胞	自然科学
土库曼斯坦	新加坡
四书五经	教育史
电离辐射	核电
赵光义	宋朝
安第斯山脉	美洲
吉娃娃	自然
赴汤蹈火	歌曲
花岗石	陶瓷
塞浦路斯	英联邦
风湿病	医疗
技术移民	澳洲
宋史	社会科学
瘙痒症	卫生
古巴	美洲
釉质	身体
上官体	古代文学
土著	民俗
陈良宇	邓小平
中秋节	传统
氢氧化钠	自然科学
大熊座	自然科学
张德江	国务院
大龙湫	雁荡山
静脉曲张	病理学
心理疾病	卫生
亚洲	韩国
张邦昌	宋朝
山戎族	匈奴
增液汤	便秘
四驱车	生活
杨振宁	诺贝尔奖
康保县	张家口市
柳宗元	柳州
几何学	学科
围棋	杂技
瞿秋白	世界语
亚美尼亚	亚洲
坐月子	孕妇
厄立特里亚	东非
周笔畅	音乐
同位素	微生物
物华天宝	雕塑
电解质	自然科学
四面体	几何
哲学	人生
腰痛	医疗
着床	自然科学
消费税	经济法
氧化物	自然科学
联合国	世界
淮扬菜	江苏
iptv	电信
赚钱	创业
樱木花道	篮球
银杏	自然
罗干	履历
橄榄油	卫生保健
琅琊山	安徽
酒精	石油工业
陈汤	西汉
鼎湖山	肇庆
锌	营养学
八卦	自然科学
意识流	评论家
秘鲁	南美洲
切变线	天气学
污染	自然科学
邰正宵	音乐
叶剑英	邓小平
河北师范大学	河北
卡塔尔	世界
摩擦力	自然科学
毛票	德化
日心说	自然科学
有理数	哲理
古人	地理学
汇票	货币
胆红素	新陈代谢
产品	营销
贝丽珠	太阳
个人所得税	财政学
宋美龄	宋庆龄
回锅肉	生活
汇率	货币
王芗斋	河北人
世博园	云南
中生代	自然
艾滋病	内科学
单倍体	细胞工程
功放	发明
癌症	期刊
尼日利亚	委内瑞拉
长江鲟	自然
张瑞希	娱乐
星期	古文明
高密	山东
莫桑比克	非洲联盟
生物学	理学
尼日利亚	美国
马英九	抗震救灾
上党梆子	山西
格鲁吉亚	乌克兰
标准	哲学理论
衣原体	自然
高甲戏	台湾
万州区	重庆
信用证	国际贸易
林连昆	话剧
雅思	出国
skype	通讯
发射光谱	自然科学
伪科学	研究
羽化	自然
铁塔	生活
气体	火山学
刷屏	生活
上海	国际
曲尺	家具
音标	英语
囫囵吞枣	文学
eax	汇编
物流师	商贸
黄埔军校	蒋介石
鲫鱼	自然
市盈率	投资
二氯乙烷	自然科学
晶闸管	系统工程
红塔山	生活
外频	硬件
民主党派	民主
柯云路	心理健康
丰润区	河北
智商	智力
春运	人文
电源	自然科学
太空杯	生活
流媒体	电子科技
铵	化工
血型	科学
风湿病	个人卫生
基因	生命科学
同位素	药理学
风湿病	医院
直角三角形	自然科学
效价	自然科学
乡村音乐	美国
浑源县	学校
新化县	娄底
大骨节病	内科学
逃逸塔	高科技
粉针	医药
六根	社会
天津师范大学	天津
核糖核酸	生命科学
光子	生物医学
胡萝卜	生活
钢化玻璃	装修
干贝	鲍鱼
斐济	世界
扬中	江苏
洛杉矶	美国
音阶	音乐学
evd	视频
粮票	计划经济
石河子	新疆
仿生学	海洋学
健康	营养学
eda	微电子学
赵本山	小品
沈兼士	北大
东北虎林园	哈尔滨
rbs	光学
布施	佛学
超链接	网页
五谷	农业
免抵退	税收
尼日利亚	巴基斯坦
cm	职业
西西里岛	意大利
东帝汶	马来西亚
郑州	中原
高锰酸钾	自然科学
消费税	社会科学
灯谜	灯笼
花岗石	自然
马蹄莲	自然
犹太教	以色列
坐月子	母婴
弹性介质	石油工业
胡昌平	情报学
it	企业
主语	社会科学
麦卡锡	美国
氨基酸	有机化学
庞涓	战国
汇率	外汇
驱动程序	操作系统
预警机	军事学
北京航空航天大学	航空航天
集成电路	自然科学
存在主义	绘画
文案	社会
几内亚湾	世界
粤剧	广州
古兰经	著作
赵元任	马云
齐齐哈尔	东北
镜像文件	iso
五一国际劳动节	劳动
